bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,rule,rule_size
51,35,0.6862745098039216,51.0,16.189999999999998,0.3174509803921568,15.546199999999999,0.30482745098039216,-3.0,1.9109803921568627,0.5599148638989327,0.06187818389559237,0.004194459283182215,0.5490196078431373,0.018460530167288682,odds_bucket=1.5-2 & probability_bucket=50-60%,2
138,76,0.5507246376811594,138.0,44.150000000000006,0.3199275362318841,42.027,0.3045434782608696,-9.780000000000008,3.0850724637681157,0.5250204354893057,0.08473389559184447,0.012931744614925848,1.0,0.039741748795143785,model_type=top_10 & tournament_importance=4 & clv_bucket=0-2.5%,3
40,7,0.175,40.0,13.0,0.325,12.08,0.302,-9.0,7.453999999999999,0.189814303715898,0.045725103741229296,0.011912682553705731,0.5,0.011097502022819061,tournament_importance=4 & round=R32 & probability_bucket=0-25%,3
39,21,0.5384615384615384,39.0,12.380000000000003,0.3174358974358975,11.7724,0.30185641025641025,-7.380000000000001,2.4666666666666663,0.5531581711863556,0.08638911561752739,0.012169079057271341,1.0,0.035571688046090975,surface=Hard & round=SF & clv_bucket=0-2.5%,3
68,6,0.08823529411764706,68.0,22.0,0.3235294117647059,20.32000000000001,0.2988235294117649,-16.0,16.75,0.12071562079167387,0.055119050063877795,0.5505177503329576,0.75,0.014140583992764817,model_type=top_10 & surface=Hard & odds_bucket=10+,3
164,86,0.524390243902439,164.0,51.29,0.3127439024390244,48.704199999999986,0.2969768292682926,-15.06000000000001,3.1435365853658532,0.4984170922716253,0.0772726309862032,0.012996508021285992,1.0,0.03488369671182295,tournament_importance=4 & clv_bucket=0-2.5%,2
45,26,0.5777777777777777,45.0,13.880000000000003,0.3084444444444445,13.2224,0.2938311111111111,-4.89,2.922,0.6014684952690155,0.10742967495670895,-0.016286044389682425,0.0,0.0667867955185035,surface=Grass & tournament_importance=5 & clv_bucket=-5-0%,3
30,26,0.8666666666666667,30.0,8.899999999999999,0.29666666666666663,8.642000000000001,0.2880666666666667,-2.29,1.589,0.7476456867100044,0.08730780156394734,0.004168970800216086,0.5,0.058146989929661164,surface=Clay & round=R32 & edge_bucket=7.5-10%,3
65,21,0.3230769230769231,65.0,20.0,0.3076923076923077,18.72,0.288,-5.4,4.066307692307692,0.2929093990462971,0.05412961566549654,0.07875773013983109,1.0,0.014061252100253266,tournament_importance=3 & odds_bucket=3-5 & clv_bucket=5%+,3
32,23,0.71875,32.0,9.41,0.2940625,9.0418,0.28255625,-2.1999999999999993,1.7781250000000002,0.6110952533098528,0.07346987180068763,0.010793831725955244,0.59375,0.025588638924542755,model_type=other & odds_bucket=1.5-2,2
33,21,0.6363636363636364,33.0,9.75,0.29545454545454547,9.315,0.28227272727272723,-4.440000000000001,2.401515151515151,0.6834779200857898,0.16066490289199628,-0.015473245898735229,0.0,0.0976522542281756,surface=Grass & edge_bucket=10%+ & clv_bucket=-5-0%,3
69,13,0.18840579710144928,69.0,20.83,0.3018840579710145,19.2934,0.27961449275362316,-14.3,6.4855072463768115,0.2133919133832738,0.020874187929422302,0.41828110326411944,0.6231884057971014,0.003526964240654007,round=R64 & edge_bucket=<=3%,2
