bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,filter,value
528,129,0.24431818181818182,528.0,-56.28999999999999,-0.10660984848484847,-63.144200000000005,-0.1195912878787879,-64.31000000000002,3.8022727272727272,0.3227729762251801,0.06208137659421032,0.013959937989229728,0.6401515151515151,0.01623893589883128,probability_bucket,25-40%
471,160,0.33970276008492567,471.0,-52.34,-0.11112526539278132,-57.5132,-0.12210870488322717,-93.15,6.384968152866241,0.41955848765550374,0.07104378686851864,0.14274330539031574,0.47770700636942676,0.0370320287279178,tournament_importance,5
306,54,0.17647058823529413,306.0,-42.86,-0.14006535947712417,-47.0428,-0.1537346405228758,-45.56000000000001,8.716078431372548,0.22549414345609345,0.04946634981189676,0.11893298114872171,1.0,0.012674635441501275,clv_bucket,5%+
249,79,0.3172690763052209,249.0,-35.62,-0.14305220883534137,-38.3076,-0.1538457831325301,-38.72000000000001,3.8185542168674695,0.3882852846679102,0.06750883312821254,0.03592712404803315,1.0,0.022727178879680978,clv_bucket,2.5-5%
396,99,0.25,396.0,-57.94,-0.1463131313131313,-62.72120000000001,-0.15838686868686871,-61.28999999999999,5.020833333333333,0.3123289823495179,0.03987116201052601,0.08801331983993194,0.6262626262626263,0.008991822603761837,edge_bucket,3-5%
377,117,0.3103448275862069,377.0,-57.0,-0.15119363395225463,-61.06,-0.1619628647214854,-59.76000000000001,3.8320954907161804,0.3538784155782309,0.040012401414855514,0.018430408017618707,0.636604774535809,0.01050951785676485,model_type,other
253,29,0.11462450592885376,253.0,-62.0,-0.2450592885375494,-65.24,-0.25786561264822133,-76.5,7.021739130434782,0.18749374966015178,0.047224370201448006,0.0071397654936636214,0.5691699604743083,0.01165483293296996,odds_bucket,5-10
40,14,0.35,40.0,-10.940000000000001,-0.2735,-11.241200000000001,-0.28103,-13.940000000000001,3.06325,0.5251693524262492,0.09629207058738505,0.006180403902977812,0.55,0.038883515519950326,tournament_importance,1
40,13,0.325,40.0,-14.27,-0.35675,-14.5246,-0.36311499999999997,-17.27,2.9234999999999998,0.5299000209769817,0.09696199763216348,0.006234397461985526,0.525,0.0393903996968414,round,RR
151,23,0.152317880794702,151.0,-54.629999999999995,-0.36178807947019864,-56.0974,-0.3715059602649007,-54.63,6.012119205298013,0.2692874053947068,0.06579721801315222,-0.09290013614969211,0.0,0.01845851662264684,clv_bucket,<-5%
