tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,execution_odds_source,closing_odds_source,friction_bps,friction_adjusted_odds,clv,market_probability,market_overround,edge,ev,friction_adjusted_ev,fractional_kelly_25,edge_trust_probability,accepted_by_strategy,won,stake,profit,friction_adjusted_profit,profit_metric,odds_bucket,probability_bucket,edge_bucket,clv_bucket,cluster
2022-08-01,2022-08-04,Washington,R32,Hard,3,Tommy Paul,Nick Kyrgios,player1,other,0.3588514655048821,3.0,2.94,B365W/B365L,AvgW/AvgL,200.0,2.96,0.0204081632653061,0.3181818181818181,1.0476190476190477,0.040669647323064,0.0765543965146465,0.0622003378944512,0.0095692995643308,,True,False,1.0,-1.0,-1.0,-1.0,2-3,25-40%,3-5%,0-2.5%,0
2022-08-01,2022-08-04,Washington,R16,Hard,3,Daniel Evans,Taylor Fritz,player1,other,0.2970623044237003,3.5,3.47,B365W/B365L,AvgW/AvgL,200.0,3.45,0.0086455331412103,0.2708333333333333,1.0549450549450547,0.0262289710903669,0.0397180654829513,0.0248649502617662,0.0039718065482951,,True,True,1.0,2.5,2.45,2.45,3-5,25-40%,<=3%,0-2.5%,0
2022-08-01,2022-08-05,Washington,R16,Hard,3,Maxime Cressy,Andrey Rublev,player2,top_10,0.4815729971839372,2.75,2.82,B365W/B365L,AvgW/AvgL,200.0,2.715,-0.0248226950354609,0.3436754176610979,1.058080808080808,0.1378975795228393,0.3243257422558273,0.3074706873543894,0.0463322488936896,,True,False,1.0,-1.0,-1.0,-1.0,2-3,40-50%,10%+,-5-0%,1
2022-08-01,2022-08-05,Los Cabos,QF,Hard,3,Steve Johnson,Felix Auger Aliassime,player1,top_10,0.2968468397071208,4.0,4.02,B365W/B365L,AvgW/AvgL,200.0,3.94,-0.0049751243781093,0.238095238095238,1.05,0.0587516016118827,0.1873873588284833,0.1695765484460561,0.0156156132357069,,True,False,1.0,-1.0,-1.0,-1.0,3-5,25-40%,5-7.5%,-5-0%,0
2022-08-01,2022-08-05,Los Cabos,QF,Hard,3,Ricardas Berankis,Daniil Medvedev,player1,top_10,0.2508336868177462,8.0,7.63,B365W/B365L,AvgW/AvgL,200.0,7.859999999999999,0.0484927916120576,0.118942731277533,1.0509259259259258,0.1318909555402132,1.00666949454197,0.9715527783874855,0.0359524819479275,,True,False,1.0,-1.0,-1.0,-1.0,5-10,25-40%,10%+,2.5-5%,1
2022-08-01,2022-08-06,Los Cabos,SF,Hard,3,Felix Auger Aliassime,Cameron Norrie,player1,top_10,0.6221405673402891,1.8,1.79,B365W/B365L,AvgW/AvgL,200.0,1.784,0.0055865921787709,0.5263157894736842,1.0555555555555556,0.0958247778666049,0.1198530212125204,0.1098987721350757,0.0374540691289126,,True,False,1.0,-1.0,-1.0,-1.0,1.5-2,60-75%,7.5-10%,0-2.5%,3
2022-08-01,2022-08-07,Washington,SF,Hard,3,Mikael Ymer,Nick Kyrgios,player1,other,0.2307964840518453,5.0,4.74,B365W/B365L,AvgW/AvgL,200.0,4.92,0.0548523206751054,0.1883116883116883,1.0620689655172415,0.042484795740157,0.1539824202592266,0.1355187015350789,0.0096239012662016,,True,False,1.0,-1.0,-1.0,-1.0,3-5,0-25%,3-5%,5%+,0
2022-08-01,2022-08-07,Washington,SF,Hard,3,Andrey Rublev,Yoshihito Nishioka,player1,top_10,0.8727903358520692,1.2,1.18,B365W/B365L,AvgW/AvgL,200.0,1.196,0.0169491525423728,0.7894736842105263,1.0555555555555556,0.0833166516415429,0.047348403022483,0.0438572416790747,0.0591855037781038,,True,False,1.0,-1.0,-1.0,-1.0,1-1.5,75-100%,7.5-10%,0-2.5%,3
2022-08-08,2022-08-10,Canada Masters,R32,Hard,4,Alex Molcan,Casper Ruud,player2,top_10,0.3051951955760157,3.4,3.39,B365W/B365L,AvgW/AvgL,200.0,3.352,0.0029498525073745,0.281183932346723,1.045997346306944,0.0240112632292926,0.0376636649584534,0.0230142955708045,0.0039232984331722,,True,False,1.0,-1.0,-1.0,-1.0,3-5,25-40%,<=3%,0-2.5%,0
2022-08-08,2022-08-10,Canada Masters,R32,Hard,4,Hubert Hurkacz,Emil Ruusuvuori,player2,top_10,0.740780142577508,1.53,1.58,B365W/B365L,AvgW/AvgL,200.0,1.5194,-0.0316455696202532,0.6203473945409429,1.05359477124183,0.1204327480365651,0.1333936181435873,0.1255413486322657,0.0629215179922581,,True,True,1.0,0.53,0.5194000000000001,0.5194000000000001,1.5-2,60-75%,10%+,-5-0%,3
