bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,edge_threshold,model_type,max_odds,exclude_slams,surface,min_edge_trust
60,35,0.5833333333333334,60.0,8.999999999999998,0.14999999999999997,8.32,0.13866666666666666,-4.890000000000001,2.0815,0.575155356275576,0.0905977173892965,0.0,0.0,0.03712022871317129,0.075,top_10,3.0,True,Hard,
48,19,0.3958333333333333,48.0,7.15,0.14895833333333333,6.427000000000001,0.13389583333333335,-7.7,3.2760416666666665,0.36684110143021426,0.05787531835396683,0.0,0.0,0.015444660343773042,0.05,,5.0,True,Grass,
152,76,0.5,152.0,22.27,0.14651315789473685,20.3046,0.13358289473684212,-11.57,2.6676315789473684,0.4985473678091448,0.06956397432715042,0.0,0.0,0.026717226800036784,0.05,top_10,5.0,True,Hard,
20,7,0.35,20.0,2.92,0.146,2.601600000000002,0.1300800000000001,-5.0,3.7495,0.3402079550433369,0.07203308188912137,0.0,0.0,0.02064307004746479,0.1,top_10,5.0,True,Grass,
80,35,0.4375,80.0,11.339999999999998,0.14175,10.213199999999997,0.12766499999999997,-8.219999999999999,3.102875,0.4290535077699376,0.07686175878703963,0.0,0.0,0.027067746163084865,0.1,top_10,5.0,False,Hard,
110,51,0.4636363636363636,110.0,15.260000000000002,0.13872727272727275,13.774799999999999,0.12522545454545453,-9.13,2.8735454545454546,0.4623219818705786,0.07481911382691293,0.0,0.0,0.027517614260676945,0.075,top_10,5.0,False,Hard,
32,17,0.53125,32.0,4.380000000000001,0.13687500000000002,3.992399999999999,0.12476249999999997,-5.18,2.2603125000000004,0.4961433158524503,0.057757758012759536,0.0,0.0,0.016411861548678186,0.03,,3.0,True,Grass,
67,39,0.582089552238806,67.0,9.04,0.13492537313432834,8.299199999999999,0.12386865671641789,-4.890000000000001,2.082835820895522,0.5749712368231812,0.09070137010873425,0.0,0.0,0.037081962211995105,0.075,top_10,3.0,False,Hard,
4,2,0.5,4.0,0.54,0.135,0.48919999999999986,0.12229999999999996,-2.0,2.4749999999999996,0.4634146761625141,0.07671753589245059,0.0,0.0,0.02370593548678224,0.1,other,3.0,False,Grass,
4,2,0.5,4.0,0.54,0.135,0.48919999999999986,0.12229999999999996,-2.0,2.4749999999999996,0.4634146761625141,0.07671753589245059,0.0,0.0,0.02370593548678224,0.1,other,5.0,False,Grass,
4,2,0.5,4.0,0.54,0.135,0.48919999999999986,0.12229999999999996,-2.0,3.76,0.40732788779209195,0.07383898993629004,0.0,0.0,0.022839245746554906,0.1,other,10.0,True,Grass,
4,2,0.5,4.0,0.54,0.135,0.48919999999999986,0.12229999999999996,-2.0,3.76,0.40732788779209195,0.07383898993629004,0.0,0.0,0.022839245746554906,0.1,other,,True,Grass,
239,79,0.3305439330543933,239.0,31.959999999999994,0.1337238493723849,28.120799999999996,0.11766025104602508,-16.669999999999987,4.532887029288703,0.3648674310387677,0.06486798519339461,0.0,0.0,0.021323028573863465,0.075,top_10,,True,,
70,38,0.5428571428571428,70.0,8.98,0.12828571428571428,8.1604,0.11657714285714285,-5.41,2.2385714285714284,0.5415071922309457,0.09890164193098046,0.0,0.0,0.038026282458548596,0.1,top_10,3.0,False,,
93,31,0.3333333333333333,93.0,12.140000000000008,0.13053763440860222,10.6572,0.11459354838709677,-17.499999999999993,3.863118279569893,0.4028071958124414,0.06367248506910549,0.0,0.0,0.02129985390897977,0.05,top_10,,True,Clay,
92,35,0.3804347826086957,92.0,11.480000000000002,0.12478260869565219,10.110399999999998,0.10989565217391303,-9.41,3.86054347826087,0.3786162663652323,0.07246521315752572,0.0,0.0,0.024267647152881038,0.1,top_10,10.0,True,Hard,
50,20,0.4,50.0,6.190000000000001,0.12380000000000002,5.4662000000000015,0.10932400000000003,-8.43,3.21,0.38563199998657893,0.053540162860845654,0.0,0.0,0.014106093913238695,0.01,top_10,5.0,True,Grass,
177,54,0.3050847457627119,177.0,22.139999999999993,0.12508474576271184,19.237199999999994,0.10868474576271184,-13.360000000000003,4.7824858757062145,0.34379875306205443,0.06868801996597053,0.0,0.0,0.02203766294920912,0.1,top_10,,True,,
841,300,0.356718192627824,841.0,103.96,0.12361474435196194,91.0608,0.1082768133174792,-58.429999999999865,3.8277764565992864,0.4061110795504821,0.04990933585993641,0.0,0.0,0.015091659690954542,0.03,,,True,,
16,7,0.4375,16.0,1.9300000000000004,0.12062500000000002,1.7113999999999994,0.10696249999999996,-4.0,2.439375,0.4978652361100451,0.06099623344110695,0.0,0.0,0.0333934811839813,0.075,other,3.0,True,Clay,
52,16,0.3076923076923077,52.0,6.33,0.12173076923076923,5.4834,0.10544999999999999,-11.0,4.379038461538461,0.32643841286627623,0.06671092719616876,0.0,0.0,0.019677171991305625,0.1,,10.0,False,Grass,
56,30,0.5357142857142857,56.0,6.4799999999999995,0.1157142857142857,5.830399999999998,0.10411428571428569,-4.539999999999999,2.2448214285714285,0.5413302791638844,0.09910801909490863,0.0,0.0,0.038288772538883555,0.1,top_10,3.0,True,,
186,81,0.43548387096774194,186.0,21.700000000000003,0.11666666666666668,19.165999999999997,0.10304301075268815,-14.570000000000002,3.362150537634408,0.4432030420244014,0.06477986483905024,0.0,0.0,0.023760361776982552,0.05,top_10,10.0,True,Hard,
