tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,execution_odds_source,closing_odds_source,friction_bps,friction_adjusted_odds,clv,market_probability,market_overround,edge,ev,friction_adjusted_ev,fractional_kelly_25,edge_trust_probability,accepted_by_strategy,won,stake,profit,friction_adjusted_profit
2019-05-06,2019-05-09,Madrid Masters,R16,Clay,4,Kei Nishikori,Stan Wawrinka,player2,top_10,0.4949000755923224,2.13,2.13,AvgW/AvgL,selected,200,2.1074,0.0,0.44675324675324674,1.0508789169123267,0.04814682883907567,0.05413716101164667,0.042952419303260325,0.011977248011426257,,True,False,1.0,-1.0,-1.0
2019-05-06,2019-05-09,Madrid Masters,R16,Clay,4,Fernando Verdasco,Stefanos Tsitsipas,player2,top_10,0.3271026934421267,3.2,3.2,AvgW/AvgL,selected,200,3.156,0.0,0.2967032967032967,1.0532407407407407,0.03039939673883002,0.04672861901480563,0.032336100503352005,0.005310070342591548,,True,False,1.0,-1.0,-1.0
2019-05-06,2019-05-10,Madrid Masters,QF,Clay,4,Roger Federer,Dominic Thiem,player2,top_10,0.4095775184371603,2.83,2.83,AvgW/AvgL,selected,200,2.7934,0.0,0.3356807511737089,1.0526575897600634,0.0738967672634514,0.15910437717716364,0.1441138400023636,0.021735570652617983,,True,False,1.0,-1.0,-1.0
2019-05-06,2019-05-11,Madrid Masters,SF,Clay,4,Dominic Thiem,Novak Djokovic,player1,top_10,0.5041174764358956,2.06,2.06,AvgW/AvgL,selected,200,2.0388,0.0,0.46354166666666663,1.0472346460128723,0.04057580976922892,0.03848200145794489,0.027794710957503965,0.009075943740081341,,True,False,1.0,-1.0,-1.0
2019-05-06,2019-05-12,Madrid Masters,F,Clay,4,Stefanos Tsitsipas,Novak Djokovic,player1,top_10,0.39396559145506005,2.85,2.85,AvgW/AvgL,selected,200,2.8129999999999997,0.0,0.33411214953271023,1.0501778922831555,0.059853441922349815,0.12280193564692121,0.10822520876308384,0.016594856168502866,,True,False,1.0,-1.0,-1.0
2019-05-13,2019-05-14,Rome Masters,R32,Clay,4,Matteo Berrettini,Alexander Zverev,player2,top_10,0.4572724882323378,2.35,2.35,AvgW/AvgL,selected,200,2.323,0.0,0.40506329113924056,1.050531914893617,0.05220919709309724,0.0745903473459939,0.06224399016372062,0.013813027286295167,,True,True,1.0,1.35,1.323
2019-05-13,2019-05-16,Rome Masters,R32,Clay,4,Juan Martin del Potro,David Goffin,player2,top_10,0.4624449648454507,2.34,2.34,AvgW/AvgL,selected,200,2.3132,0.0,0.40759493670886077,1.0484684397727877,0.05485002813658996,0.08212121773835468,0.06972769268049672,0.015321122712379606,,True,True,1.0,1.3399999999999999,1.3132000000000001
2019-05-13,2019-05-16,Rome Masters,R16,Clay,4,Fabio Fognini,Stefanos Tsitsipas,player2,top_10,0.42147333824079036,2.64,2.64,AvgW/AvgL,selected,200,2.6072,0.0,0.36077481840193704,1.0499288183851943,0.060698519838853326,0.11268961295568658,0.09886528746138867,0.01717829465787905,,True,False,1.0,-1.0,-1.0
2019-05-13,2019-05-17,Rome Masters,QF,Clay,4,Fernando Verdasco,Rafael Nadal,player2,top_10,0.08609594452481373,12.01,12.01,AvgW/AvgL,selected,200,11.7898,0.0,0.07969348659003833,1.0448024082495355,0.006402457934775396,0.034012293743012845,0.015053966758648896,0.0007723045809040156,,True,False,1.0,-1.0,-1.0
2019-05-13,2019-05-17,Rome Masters,QF,Clay,4,Kei Nishikori,Diego Schwartzman,player1,top_10,0.6522868485721762,1.58,1.58,AvgW/AvgL,selected,200,1.5684,0.0,0.605,1.046134532900931,0.04728684857217624,0.030613220744038494,0.023046693300601218,0.013195353768982107,,True,False,1.0,-1.0,-1.0
