match_date,tourney_name,surface,round,winner_name,loser_name,score,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,minutes,source,ta_stats_source,source_profile_players,year,player_won,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,winner_name_norm,loser_name_norm,score_norm,round_norm,match_key,tourney_level,draw_size
2025-06-30,Wimbledon,Grass,R128,Marton Fucsovics,Aleksandar Kovacevic,6-3 6-7(5) 6-1 5-7 6-4,1.25,0.11199999999999999,0.043,0.627,0.8320000000000001,0.5329999999999999,8.0,10.0,0.8,0.8,0.040999999999999995,0.027000000000000003,0.5820000000000001,0.753,0.508,5.0,10.0,0.5,217,player_profile_classic,player_profile_classic,"['Marton Fucsovics', 'Aleksandar Kovacevic']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Mattia Bellucci,Oliver Crawford,6-7(2) 6-3 6-4 6-4,1.68,0.191,0.055,0.564,0.919,0.625,0.0,0.0,,0.6,0.038,0.023,0.542,0.718,0.5670000000000001,7.0,10.0,0.7,178,player_profile_classic,player_profile_classic,"['Mattia Bellucci', 'Oliver Crawford']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Miomir Kecmanovic,Alex Michelsen,6-2 3-6 6-3 3-6 7-6(6),1.12,0.068,0.040999999999999995,0.6729999999999999,0.778,0.521,3.0,5.0,0.6,0.89,0.079,0.06,0.636,0.7190000000000001,0.545,3.0,6.0,0.5,193,player_profile_classic,player_profile_classic,"['Miomir Kecmanovic', 'Alex Michelsen']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Nicolas Jarry,Holger Rune,4-6 4-6 7-5 6-3 6-4,1.27,0.223,0.057999999999999996,0.604,0.7859999999999999,0.636,3.0,6.0,0.5,0.79,0.047,0.06,0.6,0.778,0.467,7.0,11.0,0.6363636363636364,214,player_profile_classic,player_profile_classic,"['Nicolas Jarry', 'Holger Rune']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Nikoloz Basilashvili,Lorenzo Musetti,6-2 4-6 7-5 6-1,1.29,0.135,0.036000000000000004,0.46799999999999997,0.8270000000000001,0.593,4.0,5.0,0.8,0.78,0.055999999999999994,0.047,0.589,0.619,0.614,6.0,11.0,0.5454545454545454,145,player_profile_classic,player_profile_classic,"['Nikoloz Basilashvili', 'Lorenzo Musetti']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Novak Djokovic,Alexandre Muller,6-1 6-7(7) 6-2 6-2,1.92,0.214,0.01,0.6990000000000001,0.8190000000000001,0.613,3.0,3.0,1.0,0.52,0.047,0.040999999999999995,0.645,0.604,0.41,20.0,27.0,0.7407407407407407,199,player_profile_classic,player_profile_classic,"['Novak Djokovic', 'Alexandre Muller']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Nuno Borges,Francisco Cerundolo,4-6 6-3 7-6(5) 6-0,1.46,0.08,0.0,0.6809999999999999,0.753,0.639,7.0,10.0,0.7,0.68,0.043,0.034,0.698,0.667,0.4,8.0,14.0,0.5714285714285714,148,player_profile_classic,player_profile_classic,"['Nuno Borges', 'Francisco Cerundolo']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Oliver Tarvet,Leandro Riedi,6-4 6-4 6-4,1.95,0.09,0.013000000000000001,0.603,0.915,0.613,0.0,0.0,,0.51,0.032,0.053,0.653,0.6609999999999999,0.485,4.0,7.0,0.5714285714285714,138,player_profile_classic,player_profile_classic,"['Oliver Tarvet', 'Leandro Riedi']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Pedro Martinez,George Loffhagen,2-6 6-2 6-4 6-2,1.22,0.0,0.04,0.7070000000000001,0.586,0.586,6.0,12.0,0.5,0.82,0.168,0.053,0.495,0.638,0.354,5.0,14.0,0.35714285714285715,159,player_profile_classic,player_profile_classic,"['Pedro Martinez', 'George Loffhagen']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Pinnington Jones,Tomas Martin Etcheverry,7-6(4) 6-3 7-5,,,,,,,,,,,,,,,,,,,156,,,,2025,True,Jack Pinnington Jones,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JackPinningtonJones,,1.1,0.102,0.046,0.574,0.823,0.522,7.0,8.0,0.875,PINNINGTON JONES,TOMAS MARTIN ETCHEVERRY,7-6(4) 6-3 7-5,R128,2025|2025-06-30|Wimbledon|R128|PINNINGTON JONES|TOMAS MARTIN ETCHEVERRY|7-6(4) 6-3 7-5,G,128
