snapshot_time,match_date,tourney_name,round,surface,player,opponent,side,model_probability,market_probability,odds,closing_odds,clv,stake,won,profit,friction_adjusted_profit,execution_odds_source,closing_odds_source
,2019-06-17,Halle,R32,Grass,Robin Haase,Alexander Zverev,player1,0.4613470850446356,0.1883116883116883,5.0,5.2,-0.03846153846153855,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-06-19,Halle,R16,Grass,Karen Khachanov,Jan Lennard Struff,player2,0.5590607571743953,0.4864864864864864,1.9,1.94,-0.020618556701030966,1.0,True,0.8999999999999999,0.8819999999999999,selected,average_proxy
,2019-06-20,Queen's Club,R32,Grass,Kyle Edmund,Stefanos Tsitsipas,player1,0.4854402837346508,0.3119266055045871,3.0,3.14,-0.04458598726114649,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-06-20,Queen's Club,R16,Grass,Kevin Anderson,Gilles Simon,player2,0.8787093965109265,0.7096069868995633,1.33,1.34,-0.007462686567164201,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-06-20,Queen's Club,R16,Grass,Jeremy Chardy,Stefanos Tsitsipas,player2,0.4002259401728639,0.2677824267782427,3.5,3.65,-0.041095890410958846,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-06-20,Halle,R16,Grass,Steve Johnson,Alexander Zverev,player1,0.4240855425711378,0.375,2.5,2.62,-0.04580152671755733,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-06-20,Halle,R16,Grass,Jo-Wilfried Tsonga,Roger Federer,player1,0.2126761704282526,0.1883116883116883,5.0,4.97,0.006036217303823088,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-06-22,Halle,SF,Grass,Pierre Hugues Herbert,Roger Federer,player2,0.1466697753472593,0.118942731277533,8.0,8.24,-0.029126213592232997,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-06-28,Eastbourne,SF,Grass,Taylor Fritz,Kyle Edmund,player1,0.393618331846834,0.3640776699029127,2.62,2.56,0.0234375,1.0,True,1.62,1.5876000000000001,selected,average_proxy
,2019-07-01,Wimbledon,R128,Grass,Vasek Pospisil,Felix Auger Aliassime,player2,0.1031841308830986,0.0958408679927667,10.0,10.14,-0.013806706114398493,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-01,Wimbledon,R128,Grass,Thomas Fabbiano,Stefanos Tsitsipas,player1,0.1774283083934031,0.1458607095926412,6.5,6.98,-0.06876790830945567,1.0,True,5.5,5.39,selected,average_proxy
,2019-07-01,Wimbledon,R128,Grass,Jozef Kovalik,Robin Haase,player1,0.24926905151627,0.2198198198198198,4.33,3.99,0.08521303258145352,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-01,Wimbledon,R128,Grass,Peter Gojowczyk,Roberto Bautista Agut,player1,0.0990068127246093,0.0871369294605809,11.0,9.92,0.1088709677419355,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-01,Wimbledon,R128,Grass,Jiri Vesely,Alexander Zverev,player1,0.4694335804964291,0.2198198198198198,4.33,4.37,-0.009153318077803174,1.0,True,3.33,3.2634,selected,average_proxy
,2019-07-02,Wimbledon,R128,Grass,Sam Querrey,Dominic Thiem,player2,0.7709810620467528,0.411764705882353,2.3,2.23,0.03139013452914785,1.0,True,1.2999999999999998,1.274,selected,average_proxy
,2019-07-02,Wimbledon,R128,Grass,Frances Tiafoe,Fabio Fognini,player2,0.5440941411235496,0.450261780104712,2.1,2.07,0.01449275362318847,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-02,Wimbledon,R128,Grass,Federico Delbonis,Daniel Evans,player2,0.1292356246747998,0.118942731277533,8.0,8.98,-0.10913140311804015,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-02,Wimbledon,R128,Grass,James Ward,Nikoloz Basilashvili,player1,0.4469821358184191,0.398477157360406,2.37,2.34,0.012820512820512997,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-02,Wimbledon,R128,Grass,Yuichi Sugita,Rafael Nadal,player2,0.0620448161953846,0.0566037735849056,17.0,13.52,0.2573964497041421,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-02,Wimbledon,R128,Grass,Thiago Monteiro,Kei Nishikori,player2,0.2203925499061616,0.0871369294605809,11.0,10.21,0.07737512242899114,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-02,Wimbledon,R128,Grass,Lloyd Harris,Roger Federer,player1,0.0725928107027394,0.0420658059142024,23.0,20.67,0.11272375423318803,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-03,Wimbledon,R64,Grass,Denis Kudla,Novak Djokovic,player2,0.0743628274794606,0.0373935579415031,26.0,22.28,0.16696588868940743,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-03,Wimbledon,R64,Grass,Steve Darcis,Roberto Bautista Agut,player2,0.0944801923509127,0.0871369294605809,11.0,10.98,0.0018214936247722413,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-04,Wimbledon,R64,Grass,Marton Fucsovics,Fabio Fognini,player2,0.4790988557731412,0.4300518134715025,2.2,2.13,0.032863849765258246,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-07-04,Wimbledon,R64,Grass,Nick Kyrgios,Rafael Nadal,player2,0.270952861447931,0.238095238095238,4.0,3.98,0.005025125628140614,1.0,False,-1.0,-1.0,selected,average_proxy
