bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,edge_threshold,model_type,max_odds,exclude_slams,surface,min_edge_trust
31,13,0.41935483870967744,31.0,7.040000000000003,0.22709677419354848,6.539199999999999,0.21094193548387094,-3.6,3.386129032258064,0.41007045185741375,0.06877864387922185,0.010294962823636157,0.6129032258064516,0.024549509549228906,0.075,other,10.0,False,Clay,
31,13,0.41935483870967744,31.0,7.040000000000003,0.22709677419354848,6.539199999999999,0.21094193548387094,-3.6,3.386129032258064,0.41007045185741375,0.06877864387922185,0.010294962823636157,0.6129032258064516,0.024549509549228906,0.075,other,10.0,True,Clay,
31,13,0.41935483870967744,31.0,7.040000000000003,0.22709677419354848,6.539199999999999,0.21094193548387094,-3.6,3.386129032258064,0.41007045185741375,0.06877864387922185,0.010294962823636157,0.6129032258064516,0.024549509549228906,0.075,other,,True,Clay,
48,33,0.6875,48.0,10.56,0.22,10.0488,0.20935,-6.500000000000001,1.8500000000000003,0.6640057454417865,0.08758634571631214,0.002632406092505035,0.4166666666666667,0.04751717372964054,0.02,top_10,3.0,True,Grass,
36,24,0.6666666666666666,36.0,7.09,0.19694444444444445,6.7082000000000015,0.18633888888888894,-3.0,1.9644444444444444,0.6827581849732712,0.14283155498264238,-0.0010362858451027264,0.4166666666666667,0.08879021655707159,0.1,,3.0,False,Grass,
51,35,0.6862745098039216,51.0,9.969999999999999,0.19549019607843135,9.4506,0.18530588235294118,-6.500000000000001,1.8472549019607842,0.6648503108926794,0.08521496896641934,0.0022658154561706265,0.4117647058823529,0.04577054379129912,0.01,top_10,3.0,True,Grass,
51,34,0.6666666666666666,51.0,9.849999999999998,0.19313725490196074,9.312999999999999,0.18260784313725487,-3.7,1.9407843137254903,0.6712843059871578,0.12446371347652495,0.0004153047111726728,0.39215686274509803,0.07682822944856123,0.075,,3.0,False,Grass,
36,22,0.6111111111111112,36.0,6.91,0.19194444444444445,6.4918,0.18032777777777775,-6.8,2.030833333333333,0.6111827831242489,0.09448235751170118,0.0031735320688501913,0.4166666666666667,0.04834050069685258,0.05,,3.0,True,Grass,
28,15,0.5357142857142857,28.0,5.289999999999999,0.1889285714285714,4.924199999999999,0.17586428571428567,-3.15,2.4649999999999994,0.4665521164740589,0.06658265311677355,0.008817702836788352,0.6071428571428571,0.021435544810875163,0.075,other,3.0,False,Hard,
51,34,0.6666666666666666,51.0,9.38,0.183921568627451,8.8524,0.17357647058823528,-7.7,1.919607843137255,0.6337018407798889,0.08409283743711579,0.0027436513098452685,0.43137254901960786,0.043987883309863134,0.03,,3.0,True,Grass,
32,13,0.40625,32.0,6.040000000000002,0.18875000000000006,5.539199999999998,0.17309999999999995,-4.6,3.6240625,0.40067763027180886,0.06732816224729221,0.008956314716488119,0.59375,0.023942104385423785,0.075,other,,False,Clay,
35,23,0.6571428571428571,35.0,6.419999999999998,0.18342857142857139,6.0516000000000005,0.17290285714285716,-3.0,1.9728571428571429,0.6804752340888415,0.1413642847326628,-0.0019477282272732075,0.4,0.08840975954505317,0.1,top_10,3.0,False,Grass,
80,41,0.5125,80.0,14.620000000000001,0.18275000000000002,13.547600000000001,0.16934500000000002,-8.36,2.8566249999999997,0.5030283924042774,0.0881854584548591,0.011703349842721382,0.55,0.038083576177561425,0.03,top_10,5.0,True,Grass,
124,52,0.41935483870967744,124.0,22.46,0.1811290322580645,20.570800000000002,0.1658935483870968,-11.59,3.726048387096774,0.44466884490701214,0.10293411601536795,-5.6299738845257176e-05,0.4435483870967742,0.04606713283379601,0.075,top_10,10.0,False,Grass,
92,47,0.5108695652173914,92.0,16.38,0.17804347826086955,15.1524,0.1647,-9.36,2.817282608695652,0.4968803166889659,0.08227952417474876,0.010843100228558151,0.5434782608695652,0.03448506948624307,0.03,,5.0,True,Grass,
172,83,0.48255813953488375,172.0,30.660000000000007,0.1782558139534884,28.26679999999999,0.16434186046511623,-10.580000000000002,3.291918604651163,0.4964485910548117,0.09056445879744075,0.001121190056696173,0.45348837209302323,0.043390201331690546,0.03,top_10,10.0,False,Grass,
9,5,0.5555555555555556,9.0,1.5899999999999999,0.17666666666666664,1.4781999999999997,0.16424444444444442,-1.27,2.3411111111111107,0.5021807864322617,0.08689078185759984,-0.00802902501192853,0.2222222222222222,0.030265517987243536,0.1,other,3.0,True,Hard,
148,62,0.4189189189189189,148.0,24.540000000000003,0.16581081081081084,22.329200000000004,0.150872972972973,-10.89,3.580067567567567,0.4516784109576448,0.09461030428036121,0.0016012257538392234,0.4527027027027027,0.04236306885317902,0.05,top_10,10.0,False,Grass,
69,32,0.463768115942029,69.0,10.81,0.15666666666666668,9.8538,0.1428086956521739,-8.8,3.0231884057971015,0.47280727729473415,0.0926690245488179,0.013863437397807068,0.5652173913043478,0.037792684378679595,0.05,top_10,5.0,True,Grass,
184,89,0.483695652173913,184.0,27.6,0.15,25.148,0.13667391304347826,-11.580000000000002,3.21125,0.5071012081202771,0.08791892586056922,0.0020320347830456477,0.45108695652173914,0.04258979633847655,0.02,top_10,10.0,False,Grass,
