tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,clv,market_probability,edge,ev,won,stake,profit,friction_bps,friction_adjusted_odds,friction_adjusted_profit,friction_adjusted_ev
2019-08-26,2019-09-03,US Open,R16,Hard,5,Marin Cilic,Rafael Nadal,player1,top_10,0.1391088051990061,9.0,8.79,0.0238907849829352,0.1062562065541211,0.0328525986448849,0.2519792467910549,False,1.0,-1.0,200.0,8.84,-1.0,0.22972183795921386
2019-08-26,2019-09-03,US Open,QF,Hard,5,Stan Wawrinka,Daniil Medvedev,player1,top_10,0.7064422339651805,1.72,1.81,-0.0497237569060774,0.549738219895288,0.1567040140698924,0.2150806424201103,False,1.0,-1.0,200.0,1.7056,-1.0,0.2049078742510118
2019-08-26,2019-09-04,US Open,QF,Hard,5,Grigor Dimitrov,Roger Federer,player2,top_10,0.126102546585458,9.0,9.44,-0.0466101694915254,0.1062562065541211,0.0198463400313368,0.1349229192691224,True,1.0,8.0,200.0,8.84,7.84,0.11474651181544859
2019-08-26,2019-09-07,US Open,SF,Hard,5,Rafael Nadal,Matteo Berrettini,player2,top_10,0.9752213670419708,1.06,1.06,0.0,0.9041591320072332,0.0710622350347375,0.0337346490644891,True,1.0,0.06,200.0,1.0588,0.05879999999999996,0.03256438342403867
2019-09-16,2019-09-19,St. Petersburg,R16,Hard,3,Joao Sousa,Karen Khachanov,player1,top_10,0.515798105682987,3.0,3.03,-0.0099009900990097,0.3119266055045871,0.2038715001783999,0.547394317048961,True,1.0,2.0,200.0,2.96,1.96,0.5267623928216416
2019-09-16,2019-09-20,St. Petersburg,QF,Hard,3,Andrey Rublev,Daniil Medvedev,player2,top_10,0.2664070783848552,4.0,4.01,-0.0024937655860348,0.238095238095238,0.0283118402896171,0.0656283135394208,False,1.0,-1.0,200.0,3.94,-1.0,0.04964388883632953
2019-09-16,2019-09-21,St. Petersburg,SF,Hard,3,Egor Gerasimov,Daniil Medvedev,player2,top_10,0.221651161897567,5.5,5.61,-0.0196078431372549,0.1716867469879518,0.0499644149096152,0.2190813904366187,False,1.0,-1.0,200.0,5.41,-1.0,0.1991327858658375
2019-09-16,2019-09-22,St. Petersburg,F,Hard,3,Borna Coric,Daniil Medvedev,player1,top_10,0.3850995004721148,4.33,4.54,-0.0462555066079295,0.2198198198198198,0.165279680652295,0.6674808370442572,False,1.0,-1.0,200.0,4.2634,-1.0,0.6418332103128139
2019-09-23,2019-09-26,Zhuhai,R16,Hard,3,Andy Murray,Alex De Minaur,player2,other,0.3482928210383229,3.0,3.03,-0.0099009900990097,0.3119266055045871,0.0363662155337358,0.0448784631149687,False,1.0,-1.0,200.0,2.96,-1.0,0.03094675027343574
2019-09-23,2019-09-26,Zhuhai,R16,Hard,3,Adrian Mannarino,Stefanos Tsitsipas,player1,top_10,0.3778530832176817,3.5,3.42,0.023391812865497,0.2677824267782427,0.1100706564394389,0.3224857912618858,True,1.0,2.5,200.0,3.45,2.45,0.3035931371010018
2019-09-30,2019-09-30,Beijing,R32,Hard,3,Frances Tiafoe,Alexander Zverev,player2,top_10,0.529455577583688,2.75,2.9,-0.0517241379310344,0.3373493975903614,0.1921061799933265,0.456002838355142,False,1.0,-1.0,200.0,2.715,-1.0,0.4374718931397128
2019-09-30,2019-09-30,Beijing,R32,Hard,3,Pablo Cuevas,Karen Khachanov,player1,top_10,0.4375338133290619,2.5,2.55,-0.0196078431372548,0.375,0.0625338133290619,0.0938345333226547,False,1.0,-1.0,200.0,2.4699999999999998,-1.0,0.08070851892278263
2019-09-30,2019-10-01,Beijing,R32,Hard,3,Sam Querrey,Roberto Bautista Agut,player1,top_10,0.3744772811143826,3.4,3.58,-0.0502793296089385,0.2765957446808511,0.0978815364335315,0.2732227557889009,True,1.0,2.4,200.0,3.352,2.352,0.2552478462954104
2019-09-30,2019-10-01,Beijing,R32,Hard,3,Stefanos Tsitsipas,Dusan Lajovic,player1,top_10,0.8135762158587396,1.28,1.27,0.0078740157480314,0.7322175732217574,0.0813586426369822,0.0413775562991867,True,1.0,0.28,200.0,1.2744,0.2744,0.03682152949037776
2019-09-30,2019-10-02,Tokyo,R16,Hard,3,Go Soeda,Novak Djokovic,player2,top_10,0.087970602200236,13.0,13.19,-0.0144048521607277,0.074074074074074,0.0138965281261619,0.143617828603068,False,1.0,-1.0,200.0,12.76,-1.0,0.12250488407501137
2019-09-30,2019-10-03,Beijing,R16,Hard,3,Alexander Zverev,Felix Auger Aliassime,player1,top_10,0.8949855789123667,1.36,1.4,-0.0285714285714284,0.6880733944954128,0.2069121844169539,0.2171803873208188,True,1.0,0.3600000000000001,200.0,1.3528000000000002,0.3528000000000002,0.21073649115264992
2019-09-30,2019-10-03,Beijing,R16,Hard,3,Stefanos Tsitsipas,Nikoloz Basilashvili,player1,top_10,0.7553940224270065,1.53,1.5,0.02,0.6076923076923076,0.1477017147346988,0.1557528543133199,True,1.0,0.53,200.0,1.5194,0.5194000000000001,0.1477456776755937
2019-09-30,2019-10-04,Beijing,QF,Hard,3,Alexander Zverev,Sam Querrey,player1,top_10,0.7877574197306859,1.33,1.31,0.0152671755725191,0.7188160676532769,0.068941352077409,0.0477173682418123,True,1.0,0.33,200.0,1.3234000000000001,0.32340000000000013,0.042518169271589856
2019-09-30,2019-10-04,Beijing,QF,Hard,3,Stefanos Tsitsipas,John Isner,player1,top_10,0.5735768233059104,1.8,1.78,0.0112359550561798,0.5263157894736842,0.0472610338322262,0.0324382819506388,True,1.0,0.8,200.0,1.784,0.784,0.023261052777744207
2019-09-30,2019-10-04,Beijing,QF,Hard,3,Karen Khachanov,Fabio Fognini,player1,top_10,0.7383991029540156,1.61,1.57,0.0254777070063694,0.588235294117647,0.1501638088363686,0.1888225557559651,True,1.0,0.6100000000000001,200.0,1.5978,0.5978000000000001,0.17981408669992616
2019-09-30,2019-10-05,Beijing,SF,Hard,3,Alexander Zverev,Stefanos Tsitsipas,player1,top_10,0.7767815309863053,1.66,1.7,-0.0235294117647059,0.5699481865284974,0.2068333444578078,0.2894573414372667,False,1.0,-1.0,200.0,1.6467999999999998,-1.0,0.2792038252282475
2019-09-30,2019-10-06,Tokyo,F,Hard,3,John Millman,Novak Djokovic,player2,top_10,0.1010731607036835,11.0,11.69,-0.0590248075278014,0.0871369294605809,0.0139362312431026,0.111804767740519,False,1.0,-1.0,200.0,10.8,-1.0,0.0915901355997818
2019-09-30,2019-10-06,Beijing,F,Hard,3,Stefanos Tsitsipas,Dominic Thiem,player1,top_10,0.6773483973929093,1.9,1.95,-0.0256410256410256,0.5,0.1773483973929093,0.2869619550465276,False,1.0,-1.0,200.0,1.882,-1.0,0.27476968389345524
2019-10-07,2019-10-08,Shanghai Masters,R32,Hard,4,Cameron Norrie,Daniil Medvedev,player1,top_10,0.1821598136870657,6.0,6.18,-0.0291262135922329,0.1573033707865168,0.0248564429005488,0.0929588821223942,False,1.0,-1.0,200.0,5.9,-1.0,0.07474290075368772
2019-10-07,2019-10-09,Shanghai Masters,R32,Hard,4,Jeremy Chardy,Alexander Zverev,player1,top_10,0.3298639965237533,3.5,3.87,-0.0956072351421188,0.2677824267782427,0.0620815697455106,0.1545239878331367,False,1.0,-1.0,200.0,3.45,-1.0,0.138030788006949
2019-10-07,2019-10-09,Shanghai Masters,R32,Hard,4,Dominic Thiem,Pablo Carreno Busta,player2,top_10,0.7610314419696355,1.4,1.43,-0.020979020979021,0.6626506024096386,0.0983808395599968,0.0654440187574895,True,1.0,0.3999999999999999,200.0,1.392,0.3919999999999999,0.05935576722173247
2019-10-07,2019-10-09,Shanghai Masters,R32,Hard,4,Taylor Fritz,Karen Khachanov,player1,top_10,0.457376368581263,2.75,2.65,0.0377358490566037,0.3373493975903614,0.1200269709909016,0.2577850135984734,False,1.0,-1.0,200.0,2.715,-1.0,0.2417768406981291
2019-10-07,2019-10-09,Shanghai Masters,R32,Hard,4,Stefanos Tsitsipas,Felix Auger Aliassime,player1,top_10,0.8133323375451672,1.4,1.41,-0.0070921985815602,0.6626506024096386,0.1506817351355286,0.138665272563234,True,1.0,0.3999999999999999,200.0,1.392,0.3919999999999999,0.1321586138628727
2019-10-07,2019-10-09,Shanghai Masters,R32,Hard,4,Novak Djokovic,Denis Shapovalov,player1,top_10,0.978626553346334,1.1,1.08,0.0185185185185186,0.8641975308641975,0.1144290224821363,0.0764892086809673,True,1.0,0.1,200.0,1.098,0.09800000000000009,0.07453195557427479
2019-10-07,2019-10-10,Shanghai Masters,R16,Hard,4,Andrey Rublev,Alexander Zverev,player1,top_10,0.5831544576080369,2.37,2.41,-0.016597510373444,0.398477157360406,0.1846773002476308,0.3820760645310473,False,1.0,-1.0,200.0,2.3426,-1.0,0.3660976323925872
2019-10-07,2019-10-10,Shanghai Masters,R16,Hard,4,Matteo Berrettini,Roberto Bautista Agut,player1,top_10,0.6854820248904543,1.72,1.71,0.0058479532163742,0.549738219895288,0.1357438049951662,0.1790290828115813,True,1.0,0.72,200.0,1.7056,0.7056,0.16915814165315884
2019-10-07,2019-10-10,Shanghai Masters,R16,Hard,4,Karen Khachanov,Fabio Fognini,player2,top_10,0.7312917798796992,1.44,1.43,0.006993006993007,0.6563245823389022,0.0749671975407969,0.0530601630267667,False,1.0,-1.0,200.0,1.4312,-1.0,0.046624795363825466
2019-10-07,2019-10-10,Shanghai Masters,R16,Hard,4,Vasek Pospisil,Daniil Medvedev,player1,top_10,0.2395324124682794,8.0,7.91,0.0113780025284448,0.118942731277533,0.1205896811907463,0.9162592997462352,False,1.0,-1.0,200.0,7.859999999999999,-1.0,0.882724762000676
2019-10-07,2019-10-10,Shanghai Masters,R16,Hard,4,Stefanos Tsitsipas,Hubert Hurkacz,player2,top_10,0.7398602857852181,1.4,1.38,0.0144927536231884,0.6818181818181818,0.0580421039670363,0.0358044000993053,True,1.0,0.3999999999999999,200.0,1.392,0.3919999999999999,0.029885517813023565
2019-10-07,2019-10-11,Shanghai Masters,QF,Hard,4,Fabio Fognini,Daniil Medvedev,player1,top_10,0.287654323210395,4.33,4.42,-0.0203619909502261,0.2198198198198198,0.0678345033905752,0.2455432195010104,False,1.0,-1.0,200.0,4.2634,-1.0,0.22638544157519802
2019-10-07,2019-10-11,Shanghai Masters,QF,Hard,4,Novak Djokovic,Stefanos Tsitsipas,player1,top_10,0.9154677660983942,1.14,1.11,0.0270270270270267,0.8283132530120482,0.087154513086346,0.0436332533521693,False,1.0,-1.0,200.0,1.1372,-1.0,0.04106994360709387
2019-10-07,2019-10-13,Shanghai Masters,F,Hard,4,Daniil Medvedev,Alexander Zverev,player1,top_10,0.7950203859583409,1.53,1.54,-0.0064935064935065,0.6203473945409429,0.174672991417398,0.2163811905162616,True,1.0,0.53,200.0,1.5194,0.5194000000000001,0.20795397442510322
2019-10-14,2019-10-18,Moscow,QF,Hard,3,Andreas Seppi,Karen Khachanov,player2,top_10,0.2847693657806182,3.75,3.6,0.0416666666666667,0.2544731610337972,0.0302962047468209,0.0678851216773182,True,1.0,2.75,200.0,3.695,2.695,0.05222280655938416
2019-10-21,2019-10-21,Basel,R32,Hard,3,Hugo Dellien,Alex De Minaur,player1,other,0.1367516118619786,8.0,8.31,-0.0373044524669073,0.118942731277533,0.0178088805844456,0.0940128948958294,False,1.0,-1.0,200.0,7.859999999999999,-1.0,0.07486766923515165
2019-10-21,2019-10-21,Vienna,R32,Hard,3,Hubert Hurkacz,Karen Khachanov,player1,top_10,0.502362788785251,2.2,2.4,-0.0833333333333332,0.4225721784776903,0.0797906103075606,0.1051981353275522,False,1.0,-1.0,200.0,2.176,-1.0,0.09314142839670625
2019-10-21,2019-10-22,Basel,R32,Hard,3,Taylor Fritz,Alexander Zverev,player1,top_10,0.4691336492054341,4.0,4.03,-0.0074441687344913,0.2337164750957854,0.2354171741096486,0.8765345968217364,True,1.0,3.0,200.0,3.94,2.94,0.8483865778694104
2019-10-21,2019-10-22,Basel,R32,Hard,3,Marius Copil,Roberto Bautista Agut,player1,top_10,0.4114842811771885,3.25,3.61,-0.0997229916897506,0.2903930131004367,0.1210912680767518,0.3373239138258626,False,1.0,-1.0,200.0,3.205,-1.0,0.3188071211728891
2019-10-21,2019-10-23,Vienna,R32,Hard,3,Adrian Mannarino,Sam Querrey,player1,other,0.4769128132408368,2.2,2.23,-0.0134529147982062,0.4225721784776903,0.0543406347631465,0.0492081891298411,False,1.0,-1.0,200.0,2.176,-1.0,0.037762281612060966
2019-10-21,2019-10-23,Vienna,R16,Hard,3,Marton Fucsovics,Karen Khachanov,player1,top_10,0.4015132413521338,3.0,2.96,0.0135135135135135,0.3119266055045871,0.0895866358475466,0.2045397240564014,False,1.0,-1.0,200.0,2.96,-1.0,0.18847919440231609
2019-10-21,2019-10-24,Basel,R16,Hard,3,Richard Gasquet,Roberto Bautista Agut,player1,top_10,0.3333210396251347,3.25,3.04,0.069078947368421,0.2903930131004367,0.042928026524698,0.0832933787816878,False,1.0,-1.0,200.0,3.205,-1.0,0.06829393199855671
2019-10-21,2019-10-24,Basel,R16,Hard,3,Ricardas Berankis,Stefanos Tsitsipas,player1,top_10,0.2677070341462574,4.33,5.04,-0.1408730158730158,0.2169981916817359,0.0507088424645214,0.1591714578532945,False,1.0,-1.0,200.0,4.2634,-1.0,0.14134216937915378
2019-10-21,2019-10-24,Basel,R16,Hard,3,Frances Tiafoe,Stan Wawrinka,player2,other,0.3264923399297105,3.25,3.52,-0.0767045454545454,0.2903930131004367,0.0360993268292738,0.0611001047715591,False,1.0,-1.0,200.0,3.205,-1.0,0.046407949474722154
2019-10-21,2019-10-24,Vienna,R16,Hard,3,Fernando Verdasco,Dominic Thiem,player2,top_10,0.3401864966490082,4.0,3.97,0.0075566750629723,0.2337164750957854,0.1064700215532228,0.3607459865960329,False,1.0,-1.0,200.0,3.94,-1.0,0.3403347967970922
2019-10-21,2019-10-25,Basel,QF,Hard,3,Roberto Bautista Agut,Reilly Opelka,player1,top_10,0.8425689556435927,1.5,1.46,0.0273972602739727,0.6359223300970874,0.2066466255465052,0.263853433465389,False,1.0,-1.0,200.0,1.49,-1.0,0.2554277439089531
2019-10-21,2019-10-25,Basel,QF,Hard,3,Roger Federer,Stan Wawrinka,player1,top_10,0.866583176724343,1.2,1.18,0.0169491525423728,0.7894736842105263,0.0771094925138167,0.0398998120692116,True,1.0,0.1999999999999999,200.0,1.196,0.19599999999999995,0.036433479362314225
2019-10-21,2019-10-25,Vienna,QF,Hard,3,Karen Khachanov,Diego Schwartzman,player2,top_10,0.6972931288853603,1.57,1.6,-0.01875,0.6015228426395939,0.0957702862457664,0.0947502123500157,False,1.0,-1.0,200.0,1.5586000000000002,-1.0,0.08680107068072274
2019-10-21,2019-10-26,Basel,SF,Hard,3,Roger Federer,Stefanos Tsitsipas,player1,top_10,0.891483987540644,1.28,1.28,0.0,0.7455268389662029,0.1459571485744411,0.1410995040520243,True,1.0,0.28,200.0,1.2744,0.2744,0.13610719372179664
2019-10-21,2019-10-26,Vienna,SF,Hard,3,Dominic Thiem,Matteo Berrettini,player1,top_10,0.7905513420815987,1.61,1.62,-0.0061728395061728,0.588235294117647,0.2023160479639517,0.272787660751374,True,1.0,0.6100000000000001,200.0,1.5978,0.5978000000000001,0.26314293437797853
2019-10-21,2019-10-27,Vienna,F,Hard,3,Dominic Thiem,Diego Schwartzman,player2,top_10,0.8272377020247093,1.28,1.29,-0.0077519379844961,0.7455268389662029,0.0817108630585063,0.0588642585916278,True,1.0,0.28,200.0,1.2744,0.2744,0.05423172746028945
2019-10-28,2019-10-29,Paris Masters,R32,Hard,4,Jan Lennard Struff,Karen Khachanov,player1,top_10,0.4753500242113906,2.5,2.46,0.0162601626016261,0.375,0.1003500242113906,0.1883750605284765,True,1.0,1.5,200.0,2.4699999999999998,1.4699999999999998,0.17411455980213464
2019-10-28,2019-10-29,Paris Masters,R32,Hard,4,Jeremy Chardy,Daniil Medvedev,player1,top_10,0.228395275674367,5.5,5.5,0.0,0.1716867469879518,0.0567085286864151,0.2561740162090185,True,1.0,4.5,200.0,5.41,4.41,0.23561844139832555
2019-10-28,2019-10-30,Paris Masters,R32,Hard,4,Jo-Wilfried Tsonga,Matteo Berrettini,player1,top_10,0.6112989691299731,2.25,2.4,-0.0625,0.4109947643979057,0.2003042047320673,0.3754226805424394,True,1.0,1.25,200.0,2.225,1.225,0.3601402063141901
2019-10-28,2019-10-30,Paris Masters,R32,Hard,4,Milos Raonic,Dominic Thiem,player2,top_10,0.4392302985388732,2.37,2.47,-0.0404858299595142,0.3923076923076922,0.0469226062311809,0.0409758075371294,False,1.0,-1.0,200.0,2.3426,-1.0,0.02894089735716432
2019-10-28,2019-10-30,Paris Masters,R32,Hard,4,Taylor Fritz,Stefanos Tsitsipas,player1,top_10,0.5324818208036589,3.5,3.63,-0.0358126721763084,0.2677824267782427,0.2646993940254162,0.8636863728128062,False,1.0,-1.0,200.0,3.45,-1.0,0.8370622817726233
2019-10-28,2019-10-31,Paris Masters,R16,Hard,4,Stan Wawrinka,Rafael Nadal,player2,top_10,0.3793567903048542,4.0,4.13,-0.0314769975786924,0.238095238095238,0.1412615522096161,0.517427161219417,False,1.0,-1.0,200.0,3.94,-1.0,0.49466575380112565
2019-10-28,2019-10-31,Paris Masters,R16,Hard,4,Radu Albot,Gael Monfils,player2,other,0.2732159680884248,4.0,3.98,0.0050251256281406,0.238095238095238,0.0351207299931867,0.0928638723536994,False,1.0,-1.0,200.0,3.94,-1.0,0.07647091426839359
2019-10-28,2019-10-31,Paris Masters,R16,Hard,4,Denis Shapovalov,Alexander Zverev,player1,top_10,0.5081223887133854,2.75,2.91,-0.0549828178694158,0.3436754176610979,0.1644469710522875,0.39733656896181,True,1.0,1.75,200.0,2.715,1.7149999999999999,0.3795522853568414
