tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,execution_odds_source,closing_odds_source,friction_bps,friction_adjusted_odds,clv,market_probability,market_overround,edge,ev,friction_adjusted_ev,fractional_kelly_25,edge_trust_probability,accepted_by_strategy,won,stake,profit,friction_adjusted_profit
2022-10-03,2022-10-03,Astana,R32,Hard,3,Hubert Hurkacz,Francisco Cerundolo,player1,top_10,0.9295514957642128,1.22,1.22,B365W/B365L,AvgW/AvgL,200.0,1.2156,0.0,0.7801801801801801,1.0506190133646311,0.14937131558403272,0.1340528248323396,0.1299627982509771,0.15233275549129502,,True,True,1.0,0.21999999999999997,0.2156
2022-10-03,2022-10-03,Astana,R32,Hard,3,Andrey Rublev,Laslo Djere,player2,top_10,0.824727427708873,1.28,1.28,B365W/B365L,AvgW/AvgL,200.0,1.2744,0.0,0.7455268389662029,1.0479166666666666,0.07920058874267011,0.055651107467357436,0.051032633872187705,0.04968848881014056,,True,True,1.0,0.28,0.2744
2022-10-03,2022-10-04,Astana,R32,Hard,3,Stefanos Tsitsipas,Mikhail Kukushkin,player1,top_10,0.9647642870073986,1.1,1.08,B365W/B365L,AvgW/AvgL,200.0,1.098,0.0185185185185186,0.8641975308641975,1.051948051948052,0.1005667561432011,0.06124071570813852,0.05931118713412373,0.15310178927034618,,True,True,1.0,0.10000000000000009,0.09800000000000009
2022-10-03,2022-10-06,Astana,R16,Hard,3,Emil Ruusuvuori,Daniil Medvedev,player1,top_10,0.2793211516386505,5.0,4.43,B365W/B365L,AvgW/AvgL,200.0,4.92,0.12866817155756216,0.1883116883116883,1.0620689655172415,0.09100946332696222,0.3966057581932525,0.37426006606216045,0.02478785988707828,,True,False,1.0,-1.0,-1.0
2022-10-03,2022-10-06,Astana,R16,Hard,3,Botic Van De Zandschulp,Novak Djokovic,player1,top_10,0.13294444699332533,8.0,7.24,B365W/B365L,AvgW/AvgL,200.0,7.859999999999999,0.1049723756906078,0.11894273127753305,1.0509259259259258,0.014001715715792284,0.06355557594660266,0.044943353367536965,0.0022698419980929523,,True,False,1.0,-1.0,-1.0
2022-10-03,2022-10-06,Astana,R16,Hard,3,Hubert Hurkacz,Alexander Bublik,player1,top_10,0.6895770060850682,1.57,1.56,B365W/B365L,AvgW/AvgL,200.0,1.5586000000000002,0.0064102564102563875,0.6015228426395939,1.058883603429278,0.08805416344547434,0.08263589955355716,0.07477472168418747,0.036243815593665414,,True,True,1.0,0.5700000000000001,0.5586000000000002
2022-10-03,2022-10-07,Astana,QF,Hard,3,Daniil Medvedev,Roberto Bautista Agut,player2,top_10,0.7401136903500054,1.4,1.39,B365W/B365L,AvgW/AvgL,200.0,1.392,0.007194244604316502,0.6818181818181818,1.0476190476190477,0.05829550853182364,0.0361591664900075,0.030238256967207444,0.02259947905625469,,True,True,1.0,0.3999999999999999,0.3919999999999999
2022-10-03,2022-10-07,Astana,QF,Hard,3,Novak Djokovic,Karen Khachanov,player2,top_10,0.98,1.12,1.12,B365W/B365L,AvgW/AvgL,200.0,1.1176000000000001,0.0,0.8426966292134831,1.0595238095238095,0.1373033707865169,0.09760000000000009,0.09524800000000012,0.20333333333333334,,True,True,1.0,0.1200000000000001,0.11760000000000015
2022-10-03,2022-10-07,Astana,QF,Hard,3,Hubert Hurkacz,Stefanos Tsitsipas,player2,top_10,0.5410420285633412,2.1,2.09,B365W/B365L,AvgW/AvgL,200.0,2.0780000000000003,0.004784688995215447,0.450261780104712,1.0575858250276855,0.09078024845862914,0.13618825998301654,0.12428533535462305,0.030951877268867393,,True,False,1.0,-1.0,-1.0
2022-10-03,2022-10-07,Astana,QF,Hard,3,Adrian Mannarino,Andrey Rublev,player2,top_10,0.2460959918669401,4.33,4.02,B365W/B365L,AvgW/AvgL,200.0,4.2634,0.07711442786069655,0.2198198198198198,1.0506190133646311,0.026276172047120294,0.0655956447838506,0.04920565172551239,0.004924597956745541,,True,False,1.0,-1.0,-1.0
2022-10-03,2022-10-08,Astana,SF,Hard,3,Daniil Medvedev,Novak Djokovic,player2,top_10,0.4171672941234871,2.62,2.5,B365W/B365L,AvgW/AvgL,200.0,2.5876,0.04800000000000004,0.3640776699029127,1.0483460559796436,0.053089624220574394,0.09297831060353623,0.07946209027393525,0.014348504722767936,,True,False,1.0,-1.0,-1.0
2022-10-03,2022-10-09,Astana,F,Hard,3,Novak Djokovic,Stefanos Tsitsipas,player2,top_10,0.871022994615041,1.25,1.25,B365W/B365L,AvgW/AvgL,200.0,1.245,0.0,0.7619047619047619,1.05,0.1091182327102791,0.0887787432688012,0.08442362829572608,0.0887787432688012,,True,True,1.0,0.25,0.2450000000000001
2022-10-10,2022-10-12,Gijon,R16,Hard,3,Thiago Monteiro,Pablo Carreno Busta,player1,other,0.17219295171124113,6.0,5.2,B365W/B365L,AvgW/AvgL,200.0,5.9,0.15384615384615374,0.15730337078651685,1.0595238095238095,0.014889580924724283,0.03315771026744685,0.015938415096322767,0.0016578855133723425,,True,False,1.0,-1.0,-1.0
2022-10-10,2022-10-13,Gijon,R16,Hard,3,Andrey Rublev,Ilya Ivashka,player1,top_10,0.8157926323449458,1.3,1.31,B365W/B365L,AvgW/AvgL,200.0,1.294,-0.007633587786259555,0.7291666666666667,1.0549450549450547,0.08662596567827907,0.060530422048429594,0.05563566625435992,0.05044201837369132,,True,True,1.0,0.30000000000000004,0.29400000000000004
2022-10-10,2022-10-14,Gijon,QF,Hard,3,Andrey Rublev,Tommy Paul,player2,top_10,0.7540891214573076,1.44,1.43,B365W/B365L,AvgW/AvgL,200.0,1.4312,0.006993006993007089,0.6563245823389022,1.058080808080808,0.09776453911840532,0.08588833489852282,0.0792523506296986,0.04880019028325161,,True,True,1.0,0.43999999999999995,0.4312
2022-10-10,2022-10-15,Gijon,SF,Hard,3,Dominic Thiem,Andrey Rublev,player2,top_10,0.33716014391010274,3.5,3.42,B365W/B365L,AvgW/AvgL,200.0,3.45,0.023391812865497075,0.27083333333333337,1.0549450549450547,0.06632681057676937,0.18006050368535964,0.16320249648985452,0.018006050368535965,,True,False,1.0,-1.0,-1.0
2022-10-17,2022-10-19,Stockholm,R16,Hard,3,Maxime Cressy,Stefanos Tsitsipas,player2,top_10,0.3528042819316989,3.75,3.83,B365W/B365L,AvgW/AvgL,200.0,3.695,-0.02088772845953002,0.25447316103379725,1.0479166666666666,0.09833112089790164,0.32301605724387084,0.30361182173762735,0.029365096113079168,,True,False,1.0,-1.0,-1.0
