tourney_name,surface,round,match_date,year,winner_name,loser_name,score,player_won,player_rank,opponent_rank,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,minutes,winner_name_norm,loser_name_norm,score_norm,match_key,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,winner_stats,loser_stats,winner_rank,loser_rank,dr,time,source,ta_stats_source,source_profile_players
US Open,Hard,Q1,2025-08-25,2025.0,Fajing Sun,Martin Tiffon,3-6 7-6(5) 4-1 RET,False,253.0,238.0,Pol Martin Tiffon,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=PolMartinTiffon,,0.94,0.055999999999999994,0.079,0.528,0.66,0.47600000000000003,1.0,3.0,0.3333333333333333,139.0,FAJING SUN,MARTIN TIFFON,3-6 7-6(5) 4-1 RET,2025|2025-08-25|US Open|Q1|FAJING SUN|MARTIN TIFFON|3-6 7-6(5) 4-1 RET,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,2025.0,Fajing Sun,Pol Martin Tiffon,3-6 7-6(5) 4-1 RET,True,238.0,253.0,Fajing Sun,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FajingSun,,1.07,0.02,0.05,0.46,0.674,0.537,5.0,8.0,0.625,139.0,FAJING SUN,POL MARTIN TIFFON,3-6 7-6(5) 4-1 RET,2025|2025-08-25|US Open|Q1|FAJING SUN|POL MARTIN TIFFON|3-6 7-6(5) 4-1 RET,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,,Federico Agustin Gomez,Lukas Klein,6-2 6-4,,,,,,,,,,,,,,,,,,,,,1.55,0.12300000000000001,0.105,0.526,0.867,0.593,3.0,3.0,1.0,0.65,0.07400000000000001,0.019,0.537,0.759,0.4,4.0,7.0,0.5714285714285714,"{'ace_pct': 0.12300000000000001, 'df_pct': 0.105, 'first_in_pct': 0.526, 'first_won_pct': 0.867, 'second_won_pct': 0.593, 'bpsvd_pct': 1.0, 'bpsvd_num': 3, 'bpsvd_den': 3}","{'ace_pct': 0.07400000000000001, 'df_pct': 0.019, 'first_in_pct': 0.537, 'first_won_pct': 0.759, 'second_won_pct': 0.4, 'bpsvd_pct': 0.5714285714285714, 'bpsvd_num': 4, 'bpsvd_den': 7}",203.0,119.0,1.55,69.0,player_profile_classic,player_profile_classic,"['Federico Agustin Gomez', 'Lukas Klein']"
US Open,Hard,Q1,2025-08-25,,Federico Cina,Dominic Stricker,6-2 6-2,,,,,,,,,,,,,,,,,,,,,1.81,0.044000000000000004,0.022000000000000002,0.622,0.821,0.529,1.0,2.0,0.5,0.55,0.045,0.045,0.43200000000000005,0.684,0.32,3.0,8.0,0.375,"{'ace_pct': 0.044000000000000004, 'df_pct': 0.022000000000000002, 'first_in_pct': 0.622, 'first_won_pct': 0.821, 'second_won_pct': 0.529, 'bpsvd_pct': 0.5, 'bpsvd_num': 1, 'bpsvd_den': 2}","{'ace_pct': 0.045, 'df_pct': 0.045, 'first_in_pct': 0.43200000000000005, 'first_won_pct': 0.684, 'second_won_pct': 0.32, 'bpsvd_pct': 0.375, 'bpsvd_num': 3, 'bpsvd_den': 8}",210.0,226.0,1.81,56.0,player_profile_classic,player_profile_classic,"['Dominic Stricker', 'Federico Cina']"
US Open,Hard,Q1,2025-08-25,2025.0,Francesco Passaro,Yu Hsiou Hsu,6-3 1-6 6-4,True,120.0,194.0,Francesco Passaro,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FrancescoPassaro,,0.98,0.076,0.063,0.532,0.7140000000000001,0.541,6.0,9.0,0.6666666666666666,114.0,FRANCESCO PASSARO,YU HSIOU HSU,6-3 1-6 6-4,2025|2025-08-25|US Open|Q1|FRANCESCO PASSARO|YU HSIOU HSU|6-3 1-6 6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,,Garrett Johns,Colton Smith,6-3 6-3,,,,,,,,,,,,,,,,,,,,,1.41,0.034,0.017,0.508,0.767,0.655,2.0,2.0,1.0,0.71,0.07400000000000001,0.07400000000000001,0.574,0.645,0.522,3.0,6.0,0.5,"{'ace_pct': 0.034, 'df_pct': 0.017, 'first_in_pct': 0.508, 'first_won_pct': 0.767, 'second_won_pct': 0.655, 'bpsvd_pct': 1.0, 'bpsvd_num': 2, 'bpsvd_den': 2}","{'ace_pct': 0.07400000000000001, 'df_pct': 0.07400000000000001, 'first_in_pct': 0.574, 'first_won_pct': 0.645, 'second_won_pct': 0.522, 'bpsvd_pct': 0.5, 'bpsvd_num': 3, 'bpsvd_den': 6}",305.0,133.0,1.41,76.0,player_profile_classic,player_profile_classic,"['Colton Smith', 'Garrett Johns']"
US Open,Hard,Q1,2025-08-25,2025.0,George Loffhagen,Jason Kubler,4-5 RET,True,245.0,195.0,George Loffhagen,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=GeorgeLoffhagen,,1.51,0.16699999999999998,0.05,0.5,0.867,0.667,0.0,0.0,,98.0,GEORGE LOFFHAGEN,JASON KUBLER,4-5 RET,2025|2025-08-25|US Open|Q1|GEORGE LOFFHAGEN|JASON KUBLER|4-5 RET,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,,Giulio Zeppieri,Hady Habib,4-6 7-6(7) 7-5,,,,,,,,,,,,,,,,,,,,,1.1,0.191,0.078,0.6,0.826,0.435,4.0,6.0,0.6666666666666666,0.91,0.102,0.071,0.7240000000000001,0.696,0.486,12.0,14.0,0.8571428571428571,"{'ace_pct': 0.191, 'df_pct': 0.078, 'first_in_pct': 0.6, 'first_won_pct': 0.826, 'second_won_pct': 0.435, 'bpsvd_pct': 0.6666666666666666, 'bpsvd_num': 4, 'bpsvd_den': 6}","{'ace_pct': 0.102, 'df_pct': 0.071, 'first_in_pct': 0.7240000000000001, 'first_won_pct': 0.696, 'second_won_pct': 0.486, 'bpsvd_pct': 0.8571428571428571, 'bpsvd_num': 12, 'bpsvd_den': 14}",260.0,171.0,1.1,153.0,player_profile_classic,player_profile_classic,"['Giulio Zeppieri', 'Hady Habib']"
US Open,Hard,Q1,2025-08-25,,Harold Mayot,Johannus Monday,7-5 6-3,,,,,,,,,,,,,,,,,,,,,1.66,0.179,0.018000000000000002,0.589,0.909,0.522,1.0,2.0,0.5,0.6,0.031,0.046,0.631,0.634,0.5,5.0,8.0,0.625,"{'ace_pct': 0.179, 'df_pct': 0.018000000000000002, 'first_in_pct': 0.589, 'first_won_pct': 0.909, 'second_won_pct': 0.522, 'bpsvd_pct': 0.5, 'bpsvd_num': 1, 'bpsvd_den': 2}","{'ace_pct': 0.031, 'df_pct': 0.046, 'first_in_pct': 0.631, 'first_won_pct': 0.634, 'second_won_pct': 0.5, 'bpsvd_pct': 0.625, 'bpsvd_num': 5, 'bpsvd_den': 8}",152.0,232.0,1.66,89.0,player_profile_classic,player_profile_classic,"['Harold Mayot', 'Johannus Monday']"
US Open,Hard,Q1,2025-08-25,,Henrique Rocha,Pierre Hugues Herbert,6-4 6-7(1) 6-4,,,,,,,,,,,,,,,,,,,,,1.39,0.077,0.022000000000000002,0.604,0.818,0.611,2.0,2.0,1.0,0.72,0.08199999999999999,0.067,0.612,0.732,0.48100000000000004,14.0,16.0,0.875,"{'ace_pct': 0.077, 'df_pct': 0.022000000000000002, 'first_in_pct': 0.604, 'first_won_pct': 0.818, 'second_won_pct': 0.611, 'bpsvd_pct': 1.0, 'bpsvd_num': 2, 'bpsvd_den': 2}","{'ace_pct': 0.08199999999999999, 'df_pct': 0.067, 'first_in_pct': 0.612, 'first_won_pct': 0.732, 'second_won_pct': 0.48100000000000004, 'bpsvd_pct': 0.875, 'bpsvd_num': 14, 'bpsvd_den': 16}",167.0,139.0,1.39,159.0,player_profile_classic,player_profile_classic,"['Henrique Rocha', 'Pierre Hugues Herbert']"
