match_date,tourney_name,surface,round,winner_name,loser_name,score,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,winner_stats,loser_stats,winner_rank,loser_rank,dr,time,source,ta_stats_source,source_profile_players,year,player_won,player_rank,opponent_rank,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,minutes,winner_name_norm,loser_name_norm,score_norm,match_key
2025-06-30,Wimbledon,Grass,R128,Van De Zandschulp,Matteo Arnaldi,7-6(4) 7-6(5) 6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,True,92.0,43.0,Botic Van De Zandschulp,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BoticVanDeZandschulp,,1.26,0.057999999999999996,0.033,0.603,0.795,0.604,5.0,6.0,0.8333333333333334,179.0,VAN DE ZANDSCHULP,MATTEO ARNALDI,7-6(4) 7-6(5) 6-4,2025|2025-06-30|Wimbledon|R128|VAN DE ZANDSCHULP|MATTEO ARNALDI|7-6(4) 7-6(5) 6-4
2025-06-30,Wimbledon,Grass,R16,Ben Shelton,Lorenzo Sonego,3-6 6-1 7-6(1) 7-5,1.15,0.063,0.04,0.603,0.737,0.62,4.0,6.0,0.6666666666666666,0.87,0.068,0.025,0.695,0.72,0.47200000000000003,2.0,6.0,0.3333333333333333,"{'ace_pct': 0.063, 'df_pct': 0.04, 'first_in_pct': 0.603, 'first_won_pct': 0.737, 'second_won_pct': 0.62, 'bpsvd_pct': 0.6666666666666666, 'bpsvd_num': 4, 'bpsvd_den': 6}","{'ace_pct': 0.068, 'df_pct': 0.025, 'first_in_pct': 0.695, 'first_won_pct': 0.72, 'second_won_pct': 0.47200000000000003, 'bpsvd_pct': 0.3333333333333333, 'bpsvd_num': 2, 'bpsvd_den': 6}",10.0,47.0,1.15,185.0,player_profile_classic,player_profile_classic,"['Ben Shelton', 'Lorenzo Sonego']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,R16,Cameron Norrie,Nicolas Jarry,6-3 7-6(4) 6-7(7) 6-7(5) 6-3,1.06,0.040999999999999995,0.031,0.684,0.754,0.597,8.0,8.0,1.0,0.94,0.258,0.045,0.657,0.795,0.475,7.0,9.0,0.7777777777777778,"{'ace_pct': 0.040999999999999995, 'df_pct': 0.031, 'first_in_pct': 0.684, 'first_won_pct': 0.754, 'second_won_pct': 0.597, 'bpsvd_pct': 1.0, 'bpsvd_num': 8, 'bpsvd_den': 8}","{'ace_pct': 0.258, 'df_pct': 0.045, 'first_in_pct': 0.657, 'first_won_pct': 0.795, 'second_won_pct': 0.475, 'bpsvd_pct': 0.7777777777777778, 'bpsvd_num': 7, 'bpsvd_den': 9}",61.0,143.0,1.06,267.0,player_profile_classic,player_profile_classic,"['Cameron Norrie', 'Nicolas Jarry']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,R16,Carlos Alcaraz,Andrey Rublev,6-7(5) 6-3 6-4 6-4,1.38,0.19,0.026000000000000002,0.672,0.821,0.632,3.0,4.0,0.75,0.72,0.049,0.033,0.667,0.72,0.561,7.0,11.0,0.6363636363636364,"{'ace_pct': 0.19, 'df_pct': 0.026000000000000002, 'first_in_pct': 0.672, 'first_won_pct': 0.821, 'second_won_pct': 0.632, 'bpsvd_pct': 0.75, 'bpsvd_num': 3, 'bpsvd_den': 4}","{'ace_pct': 0.049, 'df_pct': 0.033, 'first_in_pct': 0.667, 'first_won_pct': 0.72, 'second_won_pct': 0.561, 'bpsvd_pct': 0.6363636363636364, 'bpsvd_num': 7, 'bpsvd_den': 11}",2.0,14.0,1.38,164.0,player_profile_classic,player_profile_classic,"['Andrey Rublev', 'Carlos Alcaraz']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,R16,Flavio Cobolli,Marin Cilic,6-4 6-4 6-7(4) 7-6(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,False,83.0,24.0,Marin Cilic,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=MarinCilic,(ch),0.91,0.133,0.006999999999999999,0.65,0.71,0.6,5.0,8.0,0.625,205.0,FLAVIO COBOLLI,MARIN CILIC,6-4 6-4 6-7(4) 7-6(3),2025|2025-06-30|Wimbledon|R16|FLAVIO COBOLLI|MARIN CILIC|6-4 6-4 6-7(4) 7-6(3)
2025-06-30,Wimbledon,Grass,R16,Jannik Sinner,Grigor Dimitrov,3-6 5-7 2-2 RET,0.9,0.051,0.051,0.5760000000000001,0.8240000000000001,0.44,2.0,5.0,0.4,1.11,0.165,0.035,0.5760000000000001,0.8370000000000001,0.5,1.0,2.0,0.5,"{'ace_pct': 0.051, 'df_pct': 0.051, 'first_in_pct': 0.5760000000000001, 'first_won_pct': 0.8240000000000001, 'second_won_pct': 0.44, 'bpsvd_pct': 0.4, 'bpsvd_num': 2, 'bpsvd_den': 5}","{'ace_pct': 0.165, 'df_pct': 0.035, 'first_in_pct': 0.5760000000000001, 'first_won_pct': 0.8370000000000001, 'second_won_pct': 0.5, 'bpsvd_pct': 0.5, 'bpsvd_num': 1, 'bpsvd_den': 2}",1.0,21.0,0.9,128.0,player_profile_classic,player_profile_classic,"['Grigor Dimitrov', 'Jannik Sinner']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,R16,Karen Khachanov,Kamil Majchrzak,6-4 6-2 6-3,1.78,0.14300000000000002,0.0,0.743,0.7879999999999999,0.667,3.0,4.0,0.75,0.56,0.067,0.0,0.6779999999999999,0.6890000000000001,0.31,4.0,10.0,0.4,"{'ace_pct': 0.14300000000000002, 'df_pct': 0.0, 'first_in_pct': 0.743, 'first_won_pct': 0.7879999999999999, 'second_won_pct': 0.667, 'bpsvd_pct': 0.75, 'bpsvd_num': 3, 'bpsvd_den': 4}","{'ace_pct': 0.067, 'df_pct': 0.0, 'first_in_pct': 0.6779999999999999, 'first_won_pct': 0.6890000000000001, 'second_won_pct': 0.31, 'bpsvd_pct': 0.4, 'bpsvd_num': 4, 'bpsvd_den': 10}",20.0,109.0,1.78,107.0,player_profile_classic,player_profile_classic,"['Kamil Majchrzak', 'Karen Khachanov']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,R16,Novak Djokovic,Alex De Minaur,1-6 6-4 6-4 6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,True,6.0,11.0,Novak Djokovic,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=NovakDjokovic,(ch),1.08,0.047,0.039,0.659,0.6940000000000001,0.409,13.0,19.0,0.6842105263157895,199.0,NOVAK DJOKOVIC,ALEX DE MINAUR,1-6 6-4 6-4 6-4,2025|2025-06-30|Wimbledon|R16|NOVAK DJOKOVIC|ALEX DE MINAUR|1-6 6-4 6-4 6-4
2025-06-30,Wimbledon,Grass,R16,Novak Djokovic,De Minaur,1-6 6-4 6-4 6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,False,11.0,6.0,Alex De Minaur,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlexDeMinaur,(ch),0.93,0.009000000000000001,0.035,0.5489999999999999,0.565,0.569,7.0,13.0,0.5384615384615384,199.0,NOVAK DJOKOVIC,DE MINAUR,1-6 6-4 6-4 6-4,2025|2025-06-30|Wimbledon|R16|NOVAK DJOKOVIC|DE MINAUR|1-6 6-4 6-4 6-4
2025-06-30,Wimbledon,Grass,R16,Taylor Fritz,Jordan Thompson,6-1 3-0 RET,14.57,0.25,0.0,0.5,1.0,0.917,0.0,0.0,,0.07,0.036000000000000004,0.036000000000000004,0.607,0.529,0.182,1.0,5.0,0.2,"{'ace_pct': 0.25, 'df_pct': 0.0, 'first_in_pct': 0.5, 'first_won_pct': 1.0, 'second_won_pct': 0.917, 'bpsvd_num': 0, 'bpsvd_den': 0}","{'ace_pct': 0.036000000000000004, 'df_pct': 0.036000000000000004, 'first_in_pct': 0.607, 'first_won_pct': 0.529, 'second_won_pct': 0.182, 'bpsvd_pct': 0.2, 'bpsvd_num': 1, 'bpsvd_den': 5}",5.0,44.0,14.57,41.0,player_profile_classic,player_profile_classic,"['Jordan Thompson', 'Taylor Fritz']",,,,,,,,,,,,,,,,,,,,,
