tourney_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,market_probability,edge,ev,won,stake,profit
2019-02-18,Rio de Janeiro,R16,Clay,3,Felix Auger Aliassime,Cristian Garin,player2,other,0.5098850184349235,2.05,0.46335078534031415,0.046534233094609356,0.04526428779159308,True,1.0,1.0499999999999998
2019-02-18,Rio de Janeiro,R16,Clay,3,Joao Sousa,Casper Ruud,player2,other,0.6135263701336495,1.71,0.5558441558441558,0.057682214289493716,0.04913009292854065,False,1.0,-1.0
2019-02-18,Rio de Janeiro,R16,Clay,3,Taro Daniel,Laslo Djere,player2,other,0.44418827135078914,2.48,0.38308457711442784,0.061103694236361306,0.10158691294995714,False,1.0,-1.0
2019-02-18,Rio de Janeiro,R32,Clay,3,Thiago Monteiro,Pedro Sousa,player2,other,0.7538732962535253,1.38,0.6870748299319728,0.06679846632155251,0.040345148829864785,True,1.0,0.3799999999999999
2019-02-18,Delray Beach,R16,Hard,3,Lukas Lacko,John Isner,player1,top_10,0.16461473539925206,6.47,0.14756258234519104,0.01705215305406102,0.06505733803316083,False,1.0,-1.0
2019-02-18,Delray Beach,R32,Hard,3,Juan Martin del Potro,Yoshihito Nishioka,player2,top_10,0.8419509795727164,1.32,0.7185501066098081,0.12340087296290825,0.11137529303598565,True,1.0,0.32000000000000006
2019-02-18,Delray Beach,R32,Hard,3,Reilly Opelka,Tennys Sandgren,player1,other,0.4702125471172862,2.38,0.39898989898989906,0.07122264812738716,0.1191058621391411,True,1.0,1.38
2019-02-18,Delray Beach,R32,Hard,3,Taylor Fritz,Mackenzie Mcdonald,player2,other,0.7004245033238327,1.53,0.6212871287128713,0.07913737461096138,0.07164949008546401,False,1.0,-1.0
2019-02-18,Delray Beach,R32,Hard,3,Jared Donaldson,Guillermo Garcia Lopez,player1,other,0.43061130354622024,2.77,0.3420427553444181,0.08856854820180216,0.19279331082303008,False,1.0,-1.0
2019-02-18,Delray Beach,R32,Hard,3,Nick Kyrgios,John Millman,player1,other,0.6472124805167149,1.74,0.5456919060052219,0.10152057451149299,0.12614971609908388,True,1.0,0.74
2019-02-18,Delray Beach,R32,Hard,3,Darian King,Lloyd Harris,player2,other,0.5109094394797905,2.29,0.41581632653061223,0.09509311294917827,0.16998261640872026,False,1.0,-1.0
2019-02-25,Sao Paulo,F,Clay,3,Cristian Garin,Guido Pella,player2,other,0.4202145983115639,2.62,0.3640776699029127,0.0561369284086512,0.10096224757629746,False,1.0,-1.0
