tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,clv,market_probability,edge,ev,won,stake,profit
2019-02-25,2019-03-01,Sao Paulo,QF,Clay,3,Marco Trungelliti,Guido Pella,player1,other,0.23394509925715992,4.5,4.62,-0.025974025974025983,0.21052631578947367,0.02341878346768625,0.052752946657219635,False,1.0,-1.0
2019-02-25,2019-03-01,Acapulco,QF,Hard,3,John Millman,John Isner,player1,top_10,0.46283717039383304,2.3,2.28,0.00877192982456143,0.411764705882353,0.051072464511480065,0.06452549190581591,False,1.0,-1.0
2019-02-25,2019-03-02,Dubai,F,Hard,3,Roger Federer,Stefanos Tsitsipas,player1,top_10,0.933101929334694,1.28,1.32,-0.030303030303030276,0.7455268389662029,0.18757509036849118,0.19437046954840842,True,1.0,0.28
2019-02-25,2019-03-02,Acapulco,SF,Hard,3,Cameron Norrie,Alexander Zverev,player2,top_10,0.280874111517174,5.0,5.09,-0.017681728880157177,0.1883116883116883,0.09256242320548572,0.40437055758587004,False,1.0,-1.0
2019-02-25,2019-03-02,Acapulco,SF,Hard,3,Nick Kyrgios,John Isner,player2,top_10,0.6137664344440832,1.72,1.74,-0.011494252873563204,0.549738219895288,0.06402821454879515,0.055678267243823076,True,1.0,0.72
2019-03-04,2019-03-09,Indian Wells Masters,R64,Hard,4,Felix Auger Aliassime,Stefanos Tsitsipas,player1,top_10,0.4138869612951542,3.0,3.03,-0.009900990099009799,0.3119266055045871,0.10196035579056706,0.24166088388546247,True,1.0,2.0
2019-03-04,2019-03-10,Indian Wells Masters,R64,Hard,4,Mackenzie Mcdonald,Daniil Medvedev,player1,other,0.28724559953513973,3.75,3.94,-0.048223350253807085,0.25,0.03724559953513973,0.07717099825677398,False,1.0,-1.0
2019-03-04,2019-03-10,Indian Wells Masters,R64,Hard,4,Nicolas Jarry,Kyle Edmund,player1,other,0.3144809930787147,3.4,3.43,-0.008746355685131268,0.2765957446808511,0.03788524839786361,0.0692353764676299,False,1.0,-1.0
2019-03-04,2019-03-10,Indian Wells Masters,R64,Hard,4,Martin Klizan,Alexander Zverev,player2,top_10,0.23087932000286115,5.5,6.12,-0.10130718954248363,0.1716867469879518,0.05919257301490935,0.26983626001573646,False,1.0,-1.0
2019-03-04,2019-03-10,Indian Wells Masters,R64,Hard,4,Jordan Thompson,Dominic Thiem,player1,top_10,0.39411499336007094,3.25,3.36,-0.03273809523809523,0.2903930131004367,0.10372198025963425,0.2808737284202305,False,1.0,-1.0
2019-03-04,2019-03-11,Indian Wells Masters,R32,Hard,4,Jan Lennard Struff,Alexander Zverev,player2,top_10,0.2797877163503044,5.0,4.94,0.012145748987854255,0.1883116883116883,0.09147602803861613,0.3989385817515221,True,1.0,4.0
2019-03-04,2019-03-11,Indian Wells Masters,R32,Hard,4,Gilles Simon,Dominic Thiem,player1,top_10,0.44112546103821204,3.0,2.97,0.010101010101009944,0.3181818181818181,0.12294364285639392,0.3233763831146361,False,1.0,-1.0
2019-03-04,2019-03-12,Indian Wells Masters,R32,Hard,4,John Isner,Guido Pella,player2,top_10,0.8583662356932734,1.22,1.24,-0.016129032258064502,0.7801801801801801,0.07818605551309332,0.04720680754579354,True,1.0,0.21999999999999997
2019-03-04,2019-03-12,Indian Wells Masters,R32,Hard,4,Hubert Hurkacz,Kei Nishikori,player1,top_10,0.357941780566305,3.2,3.38,-0.053254437869822424,0.2982456140350877,0.05969616653121729,0.14541369781217606,True,1.0,2.2
2019-03-04,2019-03-13,Indian Wells Masters,R16,Hard,4,John Isner,Karen Khachanov,player1,top_10,0.6994637459300199,1.61,1.64,-0.018292682926829174,0.588235294117647,0.11122845181237295,0.12613663094733213,False,1.0,-1.0
2019-03-04,2019-03-13,Indian Wells Masters,R16,Hard,4,Kyle Edmund,Roger Federer,player1,top_10,0.3454906144828118,4.5,4.52,-0.004424778761061843,0.21052631578947367,0.13496429869333815,0.5547077651726531,False,1.0,-1.0
2019-03-04,2019-03-14,Indian Wells Masters,R16,Hard,4,Ivo Karlovic,Dominic Thiem,player1,top_10,0.40213604512562073,3.5,3.43,0.020408163265306145,0.27083333333333337,0.13130271179228736,0.4074761579396725,False,1.0,-1.0
2019-03-04,2019-03-16,Indian Wells Masters,SF,Hard,4,Dominic Thiem,Milos Raonic,player1,top_10,0.4376037219198967,2.37,2.37,0.0,0.398477157360406,0.039126564559490706,0.03712082095015523,True,1.0,1.37
2019-03-04,2019-03-17,Indian Wells Masters,F,Hard,4,Dominic Thiem,Roger Federer,player1,top_10,0.26739366520470675,4.0,3.98,0.005025125628140614,0.23809523809523808,0.029298427109468672,0.06957466081882702,True,1.0,3.0
2019-03-18,2019-03-22,Miami Masters,R64,Hard,4,Kei Nishikori,Dusan Lajovic,player1,top_10,0.8891150459083326,1.18,1.16,0.01724137931034475,0.7922535211267606,0.09686152478157195,0.04915575417183238,False,1.0,-1.0
2019-03-18,2019-03-22,Miami Masters,R64,Hard,4,Mischa Zverev,Nikoloz Basilashvili,player1,other,0.31449569509939257,3.75,3.7,0.013513513513513375,0.25,0.06449569509939257,0.1793588566227221,False,1.0,-1.0
